Tweet,Compound,Date,Negative,Neutral,Positive,Source,Text,User
92,0.34,Fri Mar 16 14:00:13 +0000 2018,0.0,0.841,0.159,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",Prepare to get that warm fuzzy feeling - the man who photobombed his wife 11 years before he met her:… https://t.co/iZBJ8dEKhz,BBC
93,0.6124,Fri Mar 16 12:59:01 +0000 2018,0.0,0.667,0.333,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",?? Why are soap bubbles such gorgeous colours? https://t.co/ppaXTcvWRZ,BBC
94,0.3612,Fri Mar 16 12:38:40 +0000 2018,0.0,0.902,0.098,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCNewsPR: Get ready to make the headlines. 

Try out our new BBC iReporter game, putting you in the heart of the newsroom #BBCSchoolRe…",BBC
95,-0.6486,Fri Mar 16 12:00:04 +0000 2018,0.238,0.762,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","? Fights, funerals, and giant furry heads... @BBCThree lifts the lid on the lives of English football's mascots
?… https://t.co/gEYxoetlah",BBC
96,0.5574,Fri Mar 16 10:45:24 +0000 2018,0.0,0.841,0.159,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCRadio2: It's with a heavy heart that today we announce, after 18 fantastic years, @realLynnBowles is leaving Radio 2. ?

@realkenbru…",BBC
97,0.0,Fri Mar 16 10:02:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Are you getting enough sleep? This simple test will tell you... ??#WorldSleepDay https://t.co/SP28dsdLSf,BBC
98,0.4939,Fri Mar 16 09:35:56 +0000 2018,0.0,0.814,0.186,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcthree: the dancing in taylor swift's new video seems pretty familiar 

CC @ChrisLilley https://t.co/MfA9usnqSb",BBC
99,0.6486,Fri Mar 16 09:35:50 +0000 2018,0.0,0.813,0.187,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCEngland: Oscar-winning British short film The Silent Child is to be shown on BBC One on Good Friday, giving UK viewers the first cha…",BBC
100,0.7845,Mon Mar 19 21:02:26 +0000 2018,0.072,0.619,0.309,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ?? Get ready to celebrate 45 years of #YR starting in just…",CBS
101,0.0,Sun Mar 18 23:44:30 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,CBS
